Coco Before Chanel,2009,52 Metascore,Anne Fontaine,$28.64M
Cold Mountain,2003,80 Metascore,Anthony Minghella,$0.48M
Collateral,2004,83 Metascore,Michael Mann,$5.51M
Coming 2 America,2021,45 Metascore,Craig Brewer,$368.06M
Coraline,2009,66 Metascore,Henry Selick,$1.44M
Corpse Bride,2005,83 Metascore,Tim Burton,$5.48M
Country Strong,2010,82 Metascore,Shana Feste,$8.11M
Crash,I 2004,59 Metascore,Paul Haggis,$115.65M
Crazy Heart,2009,66 Metascore,Scott Cooper,$162.81M
Creed,II 2015,82 Metascore,Ryan Coogler,$232.64M
Cruella,2021,77 Metascore,Craig Gillespie,$33.42M
Cyrano,2021,63 Metascore,Joe Wright,$103.37M
Da 5 Bloods,2020,75 Metascore,Spike Lee,$35.06M
Dallas Buyers Club,2013,79 Metascore,Jean-Marc Vallée,$108.33M
Dancer in the Dark,2000,68 Metascore,Lars von Trier,$188.37M
Darkest Hour,2017,58 Metascore,Joe Wright,$17.11M
Dawn of the Planet of the Apes,2014,76 Metascore,Matt Reeves,$0.41M
Twin Sisters,2002,82 Metascore,Ben Sombogaart,$1.33M
Deepwater Horizon,2016,62 Metascore,Peter Berg,$14.88M
Defiance,I 2008,89 Metascore,Edward Zwick,$16.29M
The Baader Meinhof Complex,2008,78 Metascore,Uli Edel,$151.04M
Downfall,2004,78 Metascore,Oliver Hirschbiegel,$1.55M
Despicable Me 2,2013,81 Metascore,Pierre Coffin,$96.09M
"Two Days, One Night",2014,81 Metascore,Jean-Pierre Dardenne,$127.81M
The Counterfeiters,2007,72 Metascore,Stefan Ruzowitzky,$125.60M
Dirty Pretty Things,2002,49 Metascore,Stephen Frears,$0.29M
District 9,2009,91 Metascore,Neill Blomkamp,$34.40M
Django Unchained,2012,68 Metascore,Quentin Tarantino,$72.86M
Doctor Strange,2016,76 Metascore,Scott Derrickson,$25.44M
Don't Look Up,2021,78 Metascore,Adam McKay,$31.85M
Drive My Car,2021,74 Metascore,Ryûsuke Hamaguchi,$234.04M
Doubt,I 2008,94 Metascore,John Patrick Shanley,$21.00M
Dreamgirls,2006,83 Metascore,Bill Condon,$15.85M
Drive,I 2011,78 Metascore,Nicolas Winding Refn,$57.68M
Dune,2021,82 Metascore,Denis Villeneuve,$84.41M
Dunkirk,2017,83 Metascore,Christopher Nolan,$166.17M
Eastern Promises,2007,45 Metascore,David Cronenberg,$37.03M
After the Wedding,2006,64 Metascore,Susanne Bier,$380.84M
Embrace of the Serpent,2015,71 Metascore,Ciro Guerra,$51.68M
Election,1999,54 Metascore,Alexander Payne,$44.94M
Elizabeth: The Golden Age,2007,73 Metascore,Shekhar Kapur,$3.45M
Elvis,2022,75 Metascore,Baz Luhrmann,$33.60M
Emma.,2020,75 Metascore,Autumn de Wilde,$93.77M
Empire of Light,2022,85 Metascore,Sam Mendes,$27.38M
A Royal Affair,2012,73 Metascore,Nikolaj Arcel,$117.62M
Encanto,2021,86 Metascore,Jared Bush,$2.40M
Enchanted,2007,89 Metascore,Kevin Lima,$12.10M
EO,2022,50 Metascore,Jerzy Skolimowski,$121.63M
Erin Brockovich,2000,81 Metascore,Steven Soderbergh,$25.89M
Ernest & Celestine,2012,78 Metascore,Stéphane Aubier,$18.59M
Eternal Sunshine of the Spotless Mind,2004,46 Metascore,Michel Gondry,$400.74M
Eurovision Song Contest: The Story of Fire Saga,2020,66 Metascore,David Dobkin,$477.37M
Everything Everywhere All at Once,2022,83 Metascore,Daniel Kwan,$2.51M
Ex Machina,2014,84 Metascore,Alex Garland,$77.81M
